episode,avg_reward,static_rewards
805,-455.29156327543427,-475.0
806,-455.25030978934325,-422.0
807,-455.16336633663366,-385.0
808,-455.2014833127318,-486.0
809,-455.2382716049383,-485.0
810,-455.12577065351417,-364.0
811,-455.1046798029557,-438.0
812,-455.0516605166052,-412.0
813,-455.12039312039315,-511.0
814,-455.1030674846626,-441.0
815,-455.1519607843137,-495.0
816,-455.1297429620563,-437.0
817,-454.92176039119806,-285.0
818,-454.92429792429795,-457.0
819,-454.94268292682926,-470.0
820,-454.8830694275274,-406.0
821,-454.67518248175185,-284.0
822,-454.60510328068045,-397.0
823,-454.6031553398058,-453.0
824,-454.56,-419.0
825,-454.5181598062954,-420.0
826,-454.48972188633616,-431.0
827,-454.45531400966183,-426.0
828,-454.52593486127864,-513.0
829,-454.6096385542169,-524.0
830,-454.59326113116725,-441.0
831,-454.4567307692308,-341.0
832,-454.3505402160864,-366.0
833,-454.39448441247004,-491.0
834,-454.4167664670659,-473.0
835,-454.3875598086124,-430.0
836,-454.3703703703704,-440.0
837,-454.3556085918854,-442.0
838,-454.3897497020262,-483.0
839,-454.2738095238095,-357.0
840,-454.1700356718193,-367.0
841,-453.8206650831354,-160.0
842,-453.7425860023725,-388.0
843,-453.7748815165877,-481.0
844,-453.7112426035503,-400.0
845,-453.7115839243499,-454.0
846,-453.7827626918536,-514.0
847,-453.7806603773585,-452.0
848,-453.6831566548881,-371.0
849,-453.67764705882354,-449.0
850,-453.53231492361925,-330.0
851,-453.54460093896716,-464.0
852,-453.40328253223913,-333.0
853,-453.41100702576114,-460.0
854,-453.24912280701756,-315.0
855,-452.68457943925233,30.0
856,-452.75262543757293,-511.0
857,-452.67016317016316,-382.0
858,-452.69848661233993,-477.0
859,-452.68372093023254,-440.0
860,-452.6875725900116,-456.0
861,-452.6276102088167,-401.0
862,-452.4217844727694,-275.0
863,-452.19097222222223,-253.0
864,-452.2404624277457,-495.0
865,-452.229792147806,-443.0
866,-452.27450980392155,-491.0
867,-452.2753456221198,-453.0
868,-452.0920598388953,-293.0
869,-452.1229885057471,-479.0
870,-452.00918484500573,-353.0
871,-451.98738532110093,-433.0
872,-451.91523482245134,-389.0
873,-451.8924485125858,-432.0
874,-451.8217142857143,-390.0
875,-451.78995433789953,-424.0
876,-451.76168757126567,-427.0
877,-451.76537585421414,-455.0
878,-451.45051194539246,-175.0
879,-451.4318181818182,-435.0
880,-451.49148694665155,-504.0
881,-451.4784580498866,-440.0
